Equipment ID;Date of Inspection;Pos;Component/Function;Inspection Type;Fieldworker Name;Notes
HCK_EQ001;01/04/2023;M;Steam pressure and temperature regulators;O;Bob;Feedwater pump maintenance completed
HCK_EQ001;01/04/2023;N;Feedwater system;O;Charlie;Temperature sensor replaced
HCK_EQ001;01/04/2023;P;Combustion system;O;Charlie;Pressure valve replaced
HCK_EQ001;01/07/2023;A;Safety devices against overpressure (safety valves);O;Bob;Routine check with no anomalies
HCK_EQ001;01/07/2023;D;Valves;O;Diana;Routine check with no anomalies
HCK_EQ001;01/07/2023;E;Feedwater regulation;O;Diana;Leak detected and sealed
HCK_EQ001;01/07/2023;F;Low-level limiter;O;Charlie;Calibration performed successfully
HCK_EQ001;01/07/2023;G;Steam pressure and temperature;O;Diana;Temperature sensor replaced
HCK_EQ001;01/07/2023;H;Pressure limiter;O;Bob;Calibration performed successfully
HCK_EQ001;01/07/2023;I;Temperature limiter;O;Alice;Pressure valve replaced
HCK_EQ001;01/07/2023;J;Water quality devices;O;Bob;Safety valve adjusted
HCK_EQ001;01/07/2023;K;Safety system;O;Bob;Routine check with no anomalies
HCK_EQ001;01/07/2023;L;Pressure parts and accessories (tubes, manholes, flanges, gaskets, etc.);O;Alice;Temperature sensor replaced
HCK_EQ001;01/07/2023;M;Steam pressure and temperature regulators;O;Diana;Water quality within acceptable range
HCK_EQ001;01/07/2023;N;Feedwater system;O;Alice;Leak detected and sealed
HCK_EQ001;01/07/2023;P;Combustion system;O;Diana;Water quality within acceptable range
HCK_EQ001;01/10/2023;A;Safety devices against overpressure (safety valves);O;Bob;Routine check with no anomalies
HCK_EQ001;01/10/2023;D;Valves;O;Alice;Water quality within acceptable range
HCK_EQ001;01/10/2023;E;Feedwater regulation;O;Alice;Routine check with no anomalies
HCK_EQ001;01/10/2023;F;Low-level limiter;O;Bob;Water quality within acceptable range
HCK_EQ001;01/10/2023;G;Steam pressure and temperature;O;Charlie;Calibration performed successfully
HCK_EQ001;01/10/2023;H;Pressure limiter;O;Charlie;Feedwater pump maintenance completed
HCK_EQ001;01/10/2023;I;Temperature limiter;O;Charlie;Minor corrosion detected on lower flange
HCK_EQ001;01/10/2023;J;Water quality devices;O;Charlie;Pressure valve replaced
HCK_EQ001;01/10/2023;K;Safety system;O;Charlie;No issues found during inspection
HCK_EQ001;01/10/2023;L;Pressure parts and accessories (tubes, manholes, flanges, gaskets, etc.);O;Diana;Routine check with no anomalies
HCK_EQ001;01/10/2023;M;Steam pressure and temperature regulators;O;Alice;Pressure valve replaced
HCK_EQ001;01/10/2023;N;Feedwater system;O;Charlie;Temperature sensor replaced
HCK_EQ001;01/10/2023;P;Combustion system;O;Bob;Leak detected and sealed
HCK_EQ001;01/13/2023;A;Safety devices against overpressure (safety valves);O;Diana;No issues found during inspection
HCK_EQ001;01/13/2023;D;Valves;O;Diana;Routine check with no anomalies
HCK_EQ001;01/13/2023;E;Feedwater regulation;O;Alice;Pressure valve replaced
HCK_EQ001;01/13/2023;F;Low-level limiter;O;Alice;Leak detected and sealed
HCK_EQ001;01/13/2023;G;Steam pressure and temperature;O;Diana;Temperature sensor replaced
HCK_EQ001;01/13/2023;H;Pressure limiter;O;Diana;Routine check with no anomalies
HCK_EQ001;01/13/2023;I;Temperature limiter;O;Diana;Minor corrosion detected on lower flange
HCK_EQ001;01/13/2023;J;Water quality devices;O;Alice;Minor corrosion detected on lower flange
HCK_EQ001;01/13/2023;K;Safety system;O;Diana;Calibration performed successfully
HCK_EQ001;01/13/2023;L;Pressure parts and accessories (tubes, manholes, flanges, gaskets, etc.);O;Charlie;Temperature sensor replaced
HCK_EQ001;01/13/2023;M;Steam pressure and temperature regulators;O;Alice;Safety valve adjusted
HCK_EQ001;01/13/2023;N;Feedwater system;O;Bob;No issues found during inspection
HCK_EQ001;01/13/2023;P;Combustion system;O;Alice;Safety valve adjusted
HCK_EQ001;01/16/2023;A;Safety devices against overpressure (safety valves);O;Bob;No issues found during inspection
HCK_EQ001;01/16/2023;D;Valves;O;Diana;Routine check with no anomalies
HCK_EQ001;01/16/2023;E;Feedwater regulation;O;Alice;Water quality within acceptable range
HCK_EQ001;01/16/2023;F;Low-level limiter;O;Diana;No issues found during inspection
HCK_EQ001;01/16/2023;G;Steam pressure and temperature;O;Alice;Pressure valve replaced
HCK_EQ001;01/16/2023;H;Pressure limiter;O;Charlie;Leak detected and sealed
HCK_EQ001;01/16/2023;I;Temperature limiter;O;Diana;Calibration performed successfully
HCK_EQ001;01/16/2023;J;Water quality devices;O;Charlie;Minor corrosion detected on lower flange
HCK_EQ001;01/16/2023;K;Safety system;O;Alice;Calibration performed successfully
HCK_EQ001;01/16/2023;L;Pressure parts and accessories (tubes, manholes, flanges, gaskets, etc.);O;Bob;Calibration performed successfully
HCK_EQ001;01/16/2023;M;Steam pressure and temperature regulators;O;Diana;Leak detected and sealed
HCK_EQ001;01/16/2023;N;Feedwater system;O;Charlie;Leak detected and sealed
HCK_EQ001;01/16/2023;P;Combustion system;O;Bob;Pressure valve replaced
HCK_EQ001;01/19/2023;A;Safety devices against overpressure (safety valves);O;Alice;Minor corrosion detected on lower flange
HCK_EQ001;01/19/2023;D;Valves;O;Charlie;Pressure valve replaced
HCK_EQ001;01/19/2023;E;Feedwater regulation;O;Diana;Calibration performed successfully
HCK_EQ001;01/19/2023;F;Low-level limiter;O;Bob;Pressure valve replaced
HCK_EQ001;01/19/2023;G;Steam pressure and temperature;O;Charlie;Leak detected and sealed
HCK_EQ001;01/19/2023;H;Pressure limiter;O;Diana;Safety valve adjusted
HCK_EQ001;01/19/2023;I;Temperature limiter;O;Alice;Routine check with no anomalies
HCK_EQ001;01/19/2023;J;Water quality devices;O;Diana;Safety valve adjusted
HCK_EQ001;01/19/2023;K;Safety system;O;Alice;Minor corrosion detected on lower flange
HCK_EQ001;01/19/2023;L;Pressure parts and accessories (tubes, manholes, flanges, gaskets, etc.);O;Bob;Safety valve adjusted
HCK_EQ001;01/19/2023;M;Steam pressure and temperature regulators;O;Diana;No issues found during inspection
HCK_EQ001;01/19/2023;N;Feedwater system;O;Bob;Pressure valve replaced
HCK_EQ001;01/19/2023;P;Combustion system;O;Diana;Pressure valve replaced
HCK_EQ003;01/20/2023;A;Safety devices against overpressure (safety valves);O;Bob;Calibration performed successfully
HCK_EQ003;01/20/2023;A;Safety devices against overpressure (safety valves);T;Bob;Safety valve adjusted
HCK_EQ003;01/20/2023;B;Boiler level indicators;T;Charlie;Calibration performed successfully
HCK_EQ003;01/20/2023;C;Discharge devices, continuous and intermittent blowdown;T;Alice;Temperature sensor replaced
HCK_EQ003;01/20/2023;D;Valves;O;Bob;Calibration performed successfully
HCK_EQ003;01/20/2023;D;Valves;T;Diana;Water quality within acceptable range
HCK_EQ003;01/20/2023;E;Feedwater regulation;O;Diana;Minor corrosion detected on lower flange
HCK_EQ003;01/20/2023;E;Feedwater regulation;T;Diana;Feedwater pump maintenance completed
HCK_EQ003;01/20/2023;F;Low-level limiter;O;Alice;Temperature sensor replaced
HCK_EQ003;01/20/2023;F;Low-level limiter;T;Alice;Calibration performed successfully
HCK_EQ003;01/20/2023;G;Steam pressure and temperature;O;Alice;Leak detected and sealed
HCK_EQ003;01/20/2023;H;Pressure limiter;O;Charlie;Water quality within acceptable range
HCK_EQ003;01/20/2023;H;Pressure limiter;T;Alice;Temperature sensor replaced
HCK_EQ003;01/20/2023;I;Temperature limiter;O;Alice;Safety valve adjusted
HCK_EQ003;01/20/2023;I;Temperature limiter;T;Diana;Safety valve adjusted
HCK_EQ003;01/20/2023;J;Water quality devices;O;Alice;Feedwater pump maintenance completed
HCK_EQ003;01/20/2023;J;Water quality devices;T;Alice;Routine check with no anomalies
HCK_EQ003;01/20/2023;K;Safety system;O;Charlie;Water quality within acceptable range
HCK_EQ003;01/20/2023;K;Safety system;T;Alice;Routine check with no anomalies
HCK_EQ003;01/20/2023;L;Pressure parts and accessories (tubes, manholes, flanges, gaskets, etc.);O;Charlie;Feedwater pump maintenance completed
HCK_EQ003;01/20/2023;M;Steam pressure and temperature regulators;O;Diana;Calibration performed successfully
HCK_EQ003;01/20/2023;M;Steam pressure and temperature regulators;T;Charlie;Water quality within acceptable range
HCK_EQ003;01/20/2023;N;Feedwater system;O;Alice;Routine check with no anomalies
HCK_EQ003;01/20/2023;N;Feedwater system;T;Alice;Minor corrosion detected on lower flange
HCK_EQ003;01/20/2023;O;Feedwater and boiler water quality;T;Diana;Calibration performed successfully
HCK_EQ003;01/20/2023;P;Combustion system;O;Alice;Calibration performed successfully
HCK_EQ003;01/20/2023;P;Combustion system;T;Charlie;Routine check with no anomalies
HCK_EQ001;01/22/2023;A;Safety devices against overpressure (safety valves);O;Charlie;Temperature sensor replaced
HCK_EQ001;01/22/2023;D;Valves;O;Alice;Leak detected and sealed
HCK_EQ001;01/22/2023;E;Feedwater regulation;O;Charlie;Minor corrosion detected on lower flange
HCK_EQ001;01/22/2023;F;Low-level limiter;O;Bob;Calibration performed successfully
HCK_EQ001;01/22/2023;G;Steam pressure and temperature;O;Diana;Leak detected and sealed
HCK_EQ001;01/22/2023;H;Pressure limiter;O;Alice;No issues found during inspection
HCK_EQ001;01/22/2023;I;Temperature limiter;O;Bob;No issues found during inspection
HCK_EQ001;01/22/2023;J;Water quality devices;O;Diana;Calibration performed successfully
HCK_EQ001;01/22/2023;K;Safety system;O;Bob;Routine check with no anomalies
HCK_EQ001;01/22/2023;L;Pressure parts and accessories (tubes, manholes, flanges, gaskets, etc.);O;Diana;Feedwater pump maintenance completed
HCK_EQ001;01/22/2023;M;Steam pressure and temperature regulators;O;Alice;Safety valve adjusted
HCK_EQ001;01/22/2023;N;Feedwater system;O;Alice;Feedwater pump maintenance completed
HCK_EQ001;01/22/2023;P;Combustion system;O;Diana;Feedwater pump maintenance completed
HCK_EQ003;01/23/2023;A;Safety devices against overpressure (safety valves);O;Bob;Leak detected and sealed
HCK_EQ003;01/23/2023;D;Valves;O;Bob;Water quality within acceptable range
HCK_EQ003;01/23/2023;E;Feedwater regulation;O;Diana;Minor corrosion detected on lower flange
HCK_EQ003;01/23/2023;F;Low-level limiter;O;Diana;Pressure valve replaced
HCK_EQ003;01/23/2023;G;Steam pressure and temperature;O;Alice;Leak detected and sealed
HCK_EQ003;01/23/2023;H;Pressure limiter;O;Charlie;Feedwater pump maintenance completed
HCK_EQ003;01/23/2023;I;Temperature limiter;O;Alice;Minor corrosion detected on lower flange
HCK_EQ003;01/23/2023;J;Water quality devices;O;Alice;Water quality within acceptable range
HCK_EQ003;01/23/2023;K;Safety system;O;Charlie;Routine check with no anomalies
HCK_EQ003;01/23/2023;L;Pressure parts and accessories (tubes, manholes, flanges, gaskets, etc.);O;Alice;Routine check with no anomalies
HCK_EQ003;01/23/2023;M;Steam pressure and temperature regulators;O;Charlie;Leak detected and sealed
HCK_EQ003;01/23/2023;N;Feedwater system;O;Bob;Safety valve adjusted
HCK_EQ003;01/23/2023;P;Combustion system;O;Bob;Minor corrosion detected on lower flange
HCK_EQ001;01/25/2023;A;Safety devices against overpressure (safety valves);O;Diana;Pressure valve replaced
HCK_EQ001;01/25/2023;D;Valves;O;Diana;Pressure valve replaced
HCK_EQ001;01/25/2023;E;Feedwater regulation;O;Alice;Routine check with no anomalies
HCK_EQ001;01/25/2023;F;Low-level limiter;O;Charlie;Feedwater pump maintenance completed
HCK_EQ001;01/25/2023;G;Steam pressure and temperature;O;Bob;Feedwater pump maintenance completed
HCK_EQ001;01/25/2023;H;Pressure limiter;O;Charlie;Minor corrosion detected on lower flange
HCK_EQ001;01/25/2023;I;Temperature limiter;O;Diana;No issues found during inspection
HCK_EQ001;01/25/2023;J;Water quality devices;O;Diana;Leak detected and sealed
HCK_EQ001;01/25/2023;K;Safety system;O;Diana;Water quality within acceptable range
HCK_EQ001;01/25/2023;L;Pressure parts and accessories (tubes, manholes, flanges, gaskets, etc.);O;Charlie;Temperature sensor replaced
HCK_EQ001;01/25/2023;M;Steam pressure and temperature regulators;O;Charlie;Pressure valve replaced
HCK_EQ001;01/25/2023;N;Feedwater system;O;Alice;Routine check with no anomalies
HCK_EQ001;01/25/2023;P;Combustion system;O;Diana;Temperature sensor replaced
HCK_EQ003;01/26/2023;A;Safety devices against overpressure (safety valves);O;Diana;Pressure valve replaced
HCK_EQ003;01/26/2023;D;Valves;O;Bob;No issues found during inspection
HCK_EQ003;01/26/2023;E;Feedwater regulation;O;Alice;Safety valve adjusted
HCK_EQ003;01/26/2023;F;Low-level limiter;O;Bob;Minor corrosion detected on lower flange
HCK_EQ003;01/26/2023;G;Steam pressure and temperature;O;Bob;No issues found during inspection
HCK_EQ003;01/26/2023;H;Pressure limiter;O;Alice;Calibration performed successfully
HCK_EQ003;01/26/2023;I;Temperature limiter;O;Diana;Feedwater pump maintenance completed
HCK_EQ003;01/26/2023;J;Water quality devices;O;Charlie;Safety valve adjusted
HCK_EQ003;01/26/2023;K;Safety system;O;Charlie;Feedwater pump maintenance completed
HCK_EQ003;01/26/2023;L;Pressure parts and accessories (tubes, manholes, flanges, gaskets, etc.);O;Diana;Safety valve adjusted
HCK_EQ003;01/26/2023;M;Steam pressure and temperature regulators;O;Charlie;Calibration performed successfully
HCK_EQ003;01/26/2023;N;Feedwater system;O;Alice;Calibration performed successfully
HCK_EQ003;01/26/2023;P;Combustion system;O;Diana;Calibration performed successfully
HCK_EQ001;01/28/2023;A;Safety devices against overpressure (safety valves);O;Alice;Temperature sensor replaced
HCK_EQ001;01/28/2023;D;Valves;O;Alice;No issues found during inspection
HCK_EQ001;01/28/2023;E;Feedwater regulation;O;Bob;Water quality within acceptable range
HCK_EQ001;01/28/2023;F;Low-level limiter;O;Alice;Pressure valve replaced
HCK_EQ001;01/28/2023;G;Steam pressure and temperature;O;Charlie;Pressure valve replaced
HCK_EQ001;01/28/2023;H;Pressure limiter;O;Diana;Temperature sensor replaced
HCK_EQ001;01/28/2023;I;Temperature limiter;O;Alice;Minor corrosion detected on lower flange
HCK_EQ001;01/28/2023;J;Water quality devices;O;Alice;Water quality within acceptable range
HCK_EQ001;01/28/2023;K;Safety system;O;Diana;Minor corrosion detected on lower flange
HCK_EQ001;01/28/2023;L;Pressure parts and accessories (tubes, manholes, flanges, gaskets, etc.);O;Charlie;Leak detected and sealed
HCK_EQ001;01/28/2023;M;Steam pressure and temperature regulators;O;Bob;Leak detected and sealed
HCK_EQ001;01/28/2023;N;Feedwater system;O;Diana;No issues found during inspection
HCK_EQ001;01/28/2023;P;Combustion system;O;Charlie;Feedwater pump maintenance completed
HCK_EQ003;01/29/2023;A;Safety devices against overpressure (safety valves);O;Alice;Leak detected and sealed
HCK_EQ003;01/29/2023;D;Valves;O;Diana;Pressure valve replaced
HCK_EQ003;01/29/2023;E;Feedwater regulation;O;Bob;Calibration performed successfully
HCK_EQ003;01/29/2023;F;Low-level limiter;O;Diana;Temperature sensor replaced
HCK_EQ003;01/29/2023;G;Steam pressure and temperature;O;Alice;Feedwater pump maintenance completed
HCK_EQ003;01/29/2023;H;Pressure limiter;O;Diana;Water quality within acceptable range
HCK_EQ003;01/29/2023;I;Temperature limiter;O;Bob;Safety valve adjusted
HCK_EQ003;01/29/2023;J;Water quality devices;O;Diana;Leak detected and sealed
HCK_EQ003;01/29/2023;K;Safety system;O;Alice;Safety valve adjusted
HCK_EQ003;01/29/2023;L;Pressure parts and accessories (tubes, manholes, flanges, gaskets, etc.);O;Alice;Leak detected and sealed
HCK_EQ003;01/29/2023;M;Steam pressure and temperature regulators;O;Diana;Water quality within acceptable range
HCK_EQ003;01/29/2023;N;Feedwater system;O;Charlie;Leak detected and sealed
HCK_EQ003;01/29/2023;P;Combustion system;O;Alice;Routine check with no anomalies
HCK_EQ001;01/31/2023;A;Safety devices against overpressure (safety valves);O;Diana;Water quality within acceptable range
HCK_EQ001;01/31/2023;D;Valves;O;Charlie;Safety valve adjusted
HCK_EQ001;01/31/2023;E;Feedwater regulation;O;Alice;Safety valve adjusted
HCK_EQ001;01/31/2023;F;Low-level limiter;O;Diana;No issues found during inspection
HCK_EQ001;01/31/2023;G;Steam pressure and temperature;O;Diana;Routine check with no anomalies
HCK_EQ001;01/31/2023;H;Pressure limiter;O;Bob;Routine check with no anomalies
HCK_EQ001;01/31/2023;I;Temperature limiter;O;Alice;Water quality within acceptable range
HCK_EQ001;01/31/2023;J;Water quality devices;O;Alice;Routine check with no anomalies
HCK_EQ001;01/31/2023;K;Safety system;O;Bob;Leak detected and sealed
HCK_EQ001;01/31/2023;L;Pressure parts and accessories (tubes, manholes, flanges, gaskets, etc.);O;Diana;Safety valve adjusted
HCK_EQ001;01/31/2023;M;Steam pressure and temperature regulators;O;Charlie;Temperature sensor replaced
HCK_EQ001;01/31/2023;N;Feedwater system;O;Bob;Pressure valve replaced
HCK_EQ001;01/31/2023;P;Combustion system;O;Diana;Routine check with no anomalies
HCK_EQ003;02/01/2023;A;Safety devices against overpressure (safety valves);O;Diana;No issues found during inspection
HCK_EQ003;02/01/2023;D;Valves;O;Bob;Leak detected and sealed
HCK_EQ003;02/01/2023;E;Feedwater regulation;O;Diana;Calibration performed successfully
HCK_EQ003;02/01/2023;F;Low-level limiter;O;Alice;Minor corrosion detected on lower flange
HCK_EQ003;02/01/2023;G;Steam pressure and temperature;O;Charlie;Minor corrosion detected on lower flange
HCK_EQ003;02/01/2023;H;Pressure limiter;O;Bob;Water quality within acceptable range
HCK_EQ003;02/01/2023;I;Temperature limiter;O;Diana;Feedwater pump maintenance completed
HCK_EQ003;02/01/2023;J;Water quality devices;O;Charlie;Routine check with no anomalies
HCK_EQ003;02/01/2023;K;Safety system;O;Bob;Calibration performed successfully
HCK_EQ003;02/01/2023;L;Pressure parts and accessories (tubes, manholes, flanges, gaskets, etc.);O;Bob;Feedwater pump maintenance completed
HCK_EQ003;02/01/2023;M;Steam pressure and temperature regulators;O;Alice;Temperature sensor replaced
HCK_EQ003;02/01/2023;N;Feedwater system;O;Charlie;Calibration performed successfully
HCK_EQ003;02/01/2023;P;Combustion system;O;Diana;Leak detected and sealed
HCK_EQ001;02/03/2023;A;Safety devices against overpressure (safety valves);O;Bob;Routine check with no anomalies
HCK_EQ001;02/03/2023;D;Valves;O;Charlie;Temperature sensor replaced
HCK_EQ001;02/03/2023;E;Feedwater regulation;O;Charlie;Calibration performed successfully
HCK_EQ001;02/03/2023;F;Low-level limiter;O;Alice;Routine check with no anomalies
HCK_EQ001;02/03/2023;G;Steam pressure and temperature;O;Bob;Temperature sensor replaced
HCK_EQ001;02/03/2023;H;Pressure limiter;O;Charlie;Routine check with no anomalies
HCK_EQ001;02/03/2023;I;Temperature limiter;O;Alice;Water quality within acceptable range
HCK_EQ001;02/03/2023;J;Water quality devices;O;Diana;Leak detected and sealed
HCK_EQ001;02/03/2023;K;Safety system;O;Bob;Pressure valve replaced
HCK_EQ001;02/03/2023;L;Pressure parts and accessories (tubes, manholes, flanges, gaskets, etc.);O;Diana;Leak detected and sealed
HCK_EQ001;02/03/2023;M;Steam pressure and temperature regulators;O;Alice;Safety valve adjusted
HCK_EQ001;02/03/2023;N;Feedwater system;O;Diana;Water quality within acceptable range
HCK_EQ001;02/03/2023;P;Combustion system;O;Charlie;No issues found during inspection
HCK_EQ003;02/04/2023;A;Safety devices against overpressure (safety valves);O;Bob;No issues found during inspection
HCK_EQ003;02/04/2023;D;Valves;O;Diana;Water quality within acceptable range
HCK_EQ003;02/04/2023;E;Feedwater regulation;O;Diana;Minor corrosion detected on lower flange
HCK_EQ003;02/04/2023;F;Low-level limiter;O;Diana;Pressure valve replaced
HCK_EQ003;02/04/2023;G;Steam pressure and temperature;O;Diana;Feedwater pump maintenance completed
HCK_EQ003;02/04/2023;H;Pressure limiter;O;Alice;Leak detected and sealed
HCK_EQ003;02/04/2023;I;Temperature limiter;O;Alice;Leak detected and sealed
HCK_EQ003;02/04/2023;J;Water quality devices;O;Diana;Minor corrosion detected on lower flange
HCK_EQ003;02/04/2023;K;Safety system;O;Alice;Water quality within acceptable range
HCK_EQ003;02/04/2023;L;Pressure parts and accessories (tubes, manholes, flanges, gaskets, etc.);O;Diana;Safety valve adjusted
HCK_EQ003;02/04/2023;M;Steam pressure and temperature regulators;O;Bob;Safety valve adjusted
HCK_EQ003;02/04/2023;N;Feedwater system;O;Diana;Calibration performed successfully
HCK_EQ003;02/04/2023;P;Combustion system;O;Alice;Pressure valve replaced
HCK_EQ001;02/06/2023;A;Safety devices against overpressure (safety valves);O;Alice;Minor corrosion detected on lower flange
HCK_EQ001;02/06/2023;D;Valves;O;Diana;Water quality within acceptable range
HCK_EQ001;02/06/2023;E;Feedwater regulation;O;Diana;Calibration performed successfully
HCK_EQ001;02/06/2023;F;Low-level limiter;O;Alice;Minor corrosion detected on lower flange
HCK_EQ001;02/06/2023;G;Steam pressure and temperature;O;Alice;Feedwater pump maintenance completed
HCK_EQ001;02/06/2023;H;Pressure limiter;O;Charlie;Feedwater pump maintenance completed
HCK_EQ001;02/06/2023;I;Temperature limiter;O;Charlie;Routine check with no anomalies
HCK_EQ001;02/06/2023;J;Water quality devices;O;Charlie;Leak detected and sealed
HCK_EQ001;02/06/2023;K;Safety system;O;Alice;Water quality within acceptable range
HCK_EQ001;02/06/2023;L;Pressure parts and accessories (tubes, manholes, flanges, gaskets, etc.);O;Alice;Feedwater pump maintenance completed
HCK_EQ001;02/06/2023;M;Steam pressure and temperature regulators;O;Bob;Calibration performed successfully
HCK_EQ001;02/06/2023;N;Feedwater system;O;Bob;Leak detected and sealed
HCK_EQ001;02/06/2023;P;Combustion system;O;Diana;Water quality within acceptable range
HCK_EQ003;02/07/2023;A;Safety devices against overpressure (safety valves);O;Alice;Temperature sensor replaced
HCK_EQ003;02/07/2023;D;Valves;O;Bob;Water quality within acceptable range
HCK_EQ003;02/07/2023;E;Feedwater regulation;O;Diana;Calibration performed successfully
HCK_EQ003;02/07/2023;F;Low-level limiter;O;Charlie;Leak detected and sealed
HCK_EQ003;02/07/2023;G;Steam pressure and temperature;O;Alice;Minor corrosion detected on lower flange
HCK_EQ003;02/07/2023;H;Pressure limiter;O;Bob;Temperature sensor replaced
HCK_EQ003;02/07/2023;I;Temperature limiter;O;Alice;Pressure valve replaced
HCK_EQ003;02/07/2023;J;Water quality devices;O;Charlie;Minor corrosion detected on lower flange
HCK_EQ003;02/07/2023;K;Safety system;O;Alice;Routine check with no anomalies
HCK_EQ003;02/07/2023;L;Pressure parts and accessories (tubes, manholes, flanges, gaskets, etc.);O;Diana;Safety valve adjusted
HCK_EQ003;02/07/2023;M;Steam pressure and temperature regulators;O;Diana;Minor corrosion detected on lower flange
HCK_EQ003;02/07/2023;N;Feedwater system;O;Diana;Water quality within acceptable range
HCK_EQ003;02/07/2023;P;Combustion system;O;Diana;Temperature sensor replaced
HCK_EQ001;02/09/2023;A;Safety devices against overpressure (safety valves);O;Bob;Leak detected and sealed
HCK_EQ001;02/09/2023;D;Valves;O;Diana;Calibration performed successfully
HCK_EQ001;02/09/2023;E;Feedwater regulation;O;Alice;Calibration performed successfully
HCK_EQ001;02/09/2023;F;Low-level limiter;O;Bob;Pressure valve replaced
HCK_EQ001;02/09/2023;G;Steam pressure and temperature;O;Alice;No issues found during inspection
HCK_EQ001;02/09/2023;H;Pressure limiter;O;Alice;Safety valve adjusted
HCK_EQ001;02/09/2023;I;Temperature limiter;O;Charlie;Leak detected and sealed
HCK_EQ001;02/09/2023;J;Water quality devices;O;Charlie;Calibration performed successfully
HCK_EQ001;02/09/2023;K;Safety system;O;Alice;Leak detected and sealed
HCK_EQ001;02/09/2023;L;Pressure parts and accessories (tubes, manholes, flanges, gaskets, etc.);O;Bob;Pressure valve replaced
HCK_EQ001;02/09/2023;M;Steam pressure and temperature regulators;O;Diana;Water quality within acceptable range
HCK_EQ001;02/09/2023;N;Feedwater system;O;Diana;Routine check with no anomalies
HCK_EQ001;02/09/2023;P;Combustion system;O;Charlie;Calibration performed successfully
HCK_EQ003;02/10/2023;A;Safety devices against overpressure (safety valves);O;Charlie;Leak detected and sealed
HCK_EQ003;02/10/2023;D;Valves;O;Alice;No issues found during inspection
HCK_EQ003;02/10/2023;E;Feedwater regulation;O;Alice;Leak detected and sealed
HCK_EQ003;02/10/2023;F;Low-level limiter;O;Bob;Calibration performed successfully
